benchmark,hrt,pt,seen,taken,correct,accuracy,mispredictions,misprediction_rate
dealII_O3,1024,128,14531717472,10535767485,13479617196,0.9276,1052100276,0.0724
dealII_O3,1024,16,14531717472,10535767485,13479617196,0.9276,1052100276,0.0724
dealII_O3,1024,256,14531717472,10535767485,13479617196,0.9276,1052100276,0.0724
dealII_O3,1024,32,14531717472,10535767485,13479617196,0.9276,1052100276,0.0724
dealII_O3,1024,4,14531717472,10535767485,12827027418,0.882692,1704690054,0.117308
dealII_O3,1024,64,14531717472,10535767485,13479617196,0.9276,1052100276,0.0724
dealII_O3,1024,8,14531717472,10535767485,13278551105,0.913763,1253166367,0.086237
dealII_O3,128,128,14531717472,10535767485,13315438136,0.916302,1216279336,0.083698
dealII_O3,128,16,14531717472,10535767485,13315438136,0.916302,1216279336,0.083698
dealII_O3,128,256,14531717472,10535767485,13315438136,0.916302,1216279336,0.083698
dealII_O3,128,32,14531717472,10535767485,13315438136,0.916302,1216279336,0.083698
dealII_O3,128,4,14531717472,10535767485,12668073781,0.871753,1863643691,0.128247
dealII_O3,128,64,14531717472,10535767485,13315438136,0.916302,1216279336,0.083698
dealII_O3,128,8,14531717472,10535767485,13107893712,0.90202,1423823760,0.09798
dealII_O3,2048,128,14531717472,10535767485,13497596569,0.928837,1034120903,0.071163
dealII_O3,2048,16,14531717472,10535767485,13497596569,0.928837,1034120903,0.071163
dealII_O3,2048,256,14531717472,10535767485,13497596569,0.928837,1034120903,0.071163
dealII_O3,2048,32,14531717472,10535767485,13497596569,0.928837,1034120903,0.071163
dealII_O3,2048,4,14531717472,10535767485,12848123028,0.884143,1683594444,0.115857
dealII_O3,2048,64,14531717472,10535767485,13497596569,0.928837,1034120903,0.071163
dealII_O3,2048,8,14531717472,10535767485,13298007594,0.915102,1233709878,0.084898
dealII_O3,256,128,14531717472,10535767485,13401028794,0.922192,1130688678,0.077808
dealII_O3,256,16,14531717472,10535767485,13401028794,0.922192,1130688678,0.077808
dealII_O3,256,256,14531717472,10535767485,13401028794,0.922192,1130688678,0.077808
dealII_O3,256,32,14531717472,10535767485,13401028794,0.922192,1130688678,0.077808
dealII_O3,256,4,14531717472,10535767485,12756407142,0.877832,1775310330,0.122168
dealII_O3,256,64,14531717472,10535767485,13401028794,0.922192,1130688678,0.077808
dealII_O3,256,8,14531717472,10535767485,13206862395,0.90883,1324855077,0.09117
dealII_O3,512,128,14531717472,10535767485,13446799818,0.925341,1084917654,0.074659
dealII_O3,512,16,14531717472,10535767485,13446799818,0.925341,1084917654,0.074659
dealII_O3,512,256,14531717472,10535767485,13446799818,0.925341,1084917654,0.074659
dealII_O3,512,32,14531717472,10535767485,13446799818,0.925341,1084917654,0.074659
dealII_O3,512,4,14531717472,10535767485,12804450535,0.881138,1727266937,0.118862
dealII_O3,512,64,14531717472,10535767485,13446799818,0.925341,1084917654,0.074659
dealII_O3,512,8,14531717472,10535767485,13251786619,0.911922,1279930853,0.088078
dealII_O3,64,128,14531717472,10535767485,13212376502,0.90921,1319340970,0.09079
dealII_O3,64,16,14531717472,10535767485,13212376502,0.90921,1319340970,0.09079
dealII_O3,64,256,14531717472,10535767485,13212376502,0.90921,1319340970,0.09079
dealII_O3,64,32,14531717472,10535767485,13212376502,0.90921,1319340970,0.09079
dealII_O3,64,4,14531717472,10535767485,12524680331,0.861886,2007037141,0.138114
dealII_O3,64,64,14531717472,10535767485,13212376502,0.90921,1319340970,0.09079
dealII_O3,64,8,14531717472,10535767485,12981880508,0.893348,1549836964,0.106652
libquantum_O3,1024,128,23873790969,20857719323,23268247182,0.974636,605543787,0.025364
libquantum_O3,1024,16,23873790969,20857719323,23268247182,0.974636,605543787,0.025364
libquantum_O3,1024,256,23873790969,20857719323,23268247182,0.974636,605543787,0.025364
libquantum_O3,1024,32,23873790969,20857719323,23268247182,0.974636,605543787,0.025364
libquantum_O3,1024,4,23873790969,20857719323,22747895497,0.95284,1125895472,0.04716
libquantum_O3,1024,64,23873790969,20857719323,23268247182,0.974636,605543787,0.025364
libquantum_O3,1024,8,23873790969,20857719323,23022563609,0.964345,851227360,0.035655
libquantum_O3,128,128,23873790975,20857719324,23267099248,0.974588,606691727,0.025412
libquantum_O3,128,16,23873790975,20857719324,23267099248,0.974588,606691727,0.025412
libquantum_O3,128,256,23873790975,20857719324,23267099248,0.974588,606691727,0.025412
libquantum_O3,128,32,23873790975,20857719324,23267099248,0.974588,606691727,0.025412
libquantum_O3,128,4,23873790975,20857719324,22746741388,0.952791,1127049587,0.047209
libquantum_O3,128,64,23873790975,20857719324,23267099248,0.974588,606691727,0.025412
libquantum_O3,128,8,23873790975,20857719324,23019827415,0.96423,853963560,0.03577
libquantum_O3,2048,128,23873790969,20857719323,23268247710,0.974636,605543259,0.025364
libquantum_O3,2048,16,23873790969,20857719323,23268247710,0.974636,605543259,0.025364
libquantum_O3,2048,256,23873790969,20857719323,23268247710,0.974636,605543259,0.025364
libquantum_O3,2048,32,23873790969,20857719323,23268247710,0.974636,605543259,0.025364
libquantum_O3,2048,4,23873790969,20857719323,22747896006,0.95284,1125894963,0.04716
libquantum_O3,2048,64,23873790969,20857719323,23268247710,0.974636,605543259,0.025364
libquantum_O3,2048,8,23873790969,20857719323,23022564109,0.964345,851226860,0.035655
libquantum_O3,256,128,23873790969,20857719323,23267348376,0.974598,606442593,0.025402
libquantum_O3,256,16,23873790969,20857719323,23267348376,0.974598,606442593,0.025402
libquantum_O3,256,256,23873790969,20857719323,23267348376,0.974598,606442593,0.025402
libquantum_O3,256,32,23873790969,20857719323,23267348376,0.974598,606442593,0.025402
libquantum_O3,256,4,23873790975,20857719324,22746101004,0.952765,1127689971,0.047235
libquantum_O3,256,64,23873790969,20857719323,23267348376,0.974598,606442593,0.025402
libquantum_O3,256,8,23873790975,20857719324,23020339969,0.964252,853451006,0.035748
libquantum_O3,512,128,23873790969,20857719323,23268192848,0.974633,605598121,0.025367
libquantum_O3,512,16,23873790969,20857719323,23268192848,0.974633,605598121,0.025367
libquantum_O3,512,256,23873790969,20857719323,23268192848,0.974633,605598121,0.025367
libquantum_O3,512,32,23873790969,20857719323,23268192848,0.974633,605598121,0.025367
libquantum_O3,512,4,23873790969,20857719323,22747861934,0.952838,1125929035,0.047162
libquantum_O3,512,64,23873790969,20857719323,23268192848,0.974633,605598121,0.025367
libquantum_O3,512,8,23873790969,20857719323,23022400532,0.964338,851390437,0.035662
libquantum_O3,64,128,23873790975,20857719324,23265584963,0.974524,608206012,0.025476
libquantum_O3,64,16,23873790975,20857719324,23265584963,0.974524,608206012,0.025476
libquantum_O3,64,256,23873790975,20857719324,23265584963,0.974524,608206012,0.025476
libquantum_O3,64,32,23873790975,20857719324,23265584963,0.974524,608206012,0.025476
libquantum_O3,64,4,23873790975,20857719324,22746372860,0.952776,1127418115,0.047224
libquantum_O3,64,64,23873790975,20857719324,23265584963,0.974524,608206012,0.025476
libquantum_O3,64,8,23873790975,20857719324,23019934724,0.964235,853856251,0.035765
